new_cases,PRECIPITATION,REL_HUMIDITY,MAX_TEMP,MIN_TEMP,MAX_WIND_SPEED,WIND_S50M,SOLAR1_INS_CLEAR_IND,SOLAR2_ALL_SKY_II,SOLAR3_DWN_THERM_IR,Level
0,1.51,97.22,7,3.88,3.37,7.94,0.24,0.65,7.39,Level1
0,0.49,97.12,6.26,-0.48,1.51,3.56,0.44,1.22,6.71,Level1
0,0.08,96.64,4.72,-1.45,1.77,5.65,0.48,1.33,6.59,Level1
0,0.06,92.29,8.77,-1.47,3.37,7.14,0.6,1.7,5.99,Level1
0,1.82,98.04,6.8,1.68,2.74,5.34,0.24,0.68,7.41,Level1
0,0.79,98.11,10.19,6.28,2.15,4.97,0.28,0.79,7.67,Level1
0,2.59,90.66,11.12,6.21,4.23,10.44,0.27,0.79,7.89,Level1
0,1.74,94.93,6.43,1.79,2.11,7.02,0.26,0.77,7.35,Level1
0,0.06,91.54,5.97,-1,0.83,2.47,0.3,0.88,7.18,Level1
0,0.57,89.71,5.63,-2.04,2.72,5.58,0.54,1.59,6.01,Level1
0,0.29,89.39,10.11,2.55,2.68,7.33,0.57,1.7,6.44,Level1
0,0,84.99,9.46,2.93,6.42,10.71,0.33,0.99,6.95,Level1
0,0.11,89.7,11.34,4.76,4.95,10.71,0.52,1.57,6.63,Level1
0,0.01,90.11,11.86,3.48,4.13,8.8,0.61,1.87,6.28,Level1
0,4.56,94.36,8.42,3,4.49,8.84,0.24,0.75,6.75,Level1
0,0.13,88.83,6.94,0.2,0.89,4.98,0.58,1.82,5.73,Level1
0,0.18,91.03,3.31,-1.11,4.99,9.57,0.48,1.52,5.87,Level1
0,0.12,88.96,2.9,-2.96,4.71,10.03,0.58,1.87,5.4,Level1
0,0.02,86.08,5.32,-3.55,3.38,6.13,0.62,2,5.64,Level1
0,0.02,86.72,6.21,-2.18,3.14,6.42,0.58,1.93,5.98,Level1
0,0.09,94.06,4.46,0.17,2.49,5.87,0.34,1.14,6.57,Level1
0,0.05,97.27,10.46,2.08,0.64,4.93,0.59,2.01,6.27,Level1
3,0.08,91.96,10.55,1.88,1.04,4.15,0.52,1.8,6.5,Level1
0,1.19,97.65,7.74,2.29,2.56,6.24,0.33,1.14,7.18,Level1
0,8.47,94.65,6.22,4.45,5.23,10.58,0.12,0.41,7.38,Level1
0,6.18,92.58,7.22,4.83,8.39,13.83,0.26,0.94,7.13,Level1
1,1.95,95.85,7.62,2.71,3.39,8.2,0.37,1.35,7.08,Level1
1,6.86,96.23,9.52,2.88,4.59,9.5,0.21,0.8,7.51,Level1
1,1.66,95.54,11.6,9.06,4.53,8.1,0.3,1.12,7.47,Level1
0,3.78,94.16,11.73,7.89,5.15,9.93,0.34,1.29,7.56,Level1
0,7.72,94.96,13.32,8.62,6.4,11.62,0.22,0.84,8.42,Level1
0,0.64,89.99,14.63,8.95,6.73,11.2,0.38,1.49,7.75,Level1
0,4.13,91.31,9.19,1.26,3.66,9.71,0.37,1.47,6.81,Level1
0,0.05,91.29,6.27,0.62,1.97,5.03,0.48,1.97,6.22,Level1
0,0,81.46,6.57,-1.7,3.31,7.27,0.61,2.49,5.6,Level1
0,0.01,91.85,11.36,-0.93,2.46,6.42,0.63,2.63,6.11,Level1
5,0.03,90.93,10.81,1.36,2.98,7.37,0.53,2.27,6.88,Level1
0,0.65,90.15,10.6,5.42,5.88,14.15,0.37,1.58,7.35,Level1
0,3.22,89.27,10.86,8.06,9.93,16.64,0.34,1.5,7.62,Level1
0,2.13,90.14,8.08,1.93,4.87,10.58,0.39,1.75,6.87,Level1
0,0.46,92.14,6.48,1.17,2.85,6.56,0.5,2.26,6.27,Level1
0,4.76,92.7,10.73,1.09,5.04,12.95,0.27,1.22,6.88,Level1
0,0.47,88.79,10.05,3.2,1.73,5.52,0.31,1.45,7.04,Level1
0,0,83.29,12.55,0.62,2.95,7.86,0.65,3.04,6.6,Level1
0,0.12,86.1,13.49,7.34,7.2,12.6,0.56,2.65,7.38,Level1
1,7.97,92.9,8.79,3.82,3.86,8.48,0.28,1.34,7.14,Level1
0,0.61,89.04,8.37,2.65,3.69,6.74,0.52,2.56,6.39,Level1
0,1.74,95.48,8.06,4.28,2.75,7.8,0.39,1.94,7.23,Level1
0,0.46,87.83,11.75,2.99,4.06,7.09,0.6,3.02,6.46,Level1
0,0.11,76.04,9.09,1.85,0.12,1.44,0.65,3.33,5.97,Level1
0,0,81.8,11.05,-0.48,1.92,6.49,0.66,3.44,6.28,Level1
0,0.04,88.86,11.26,4.07,4.47,8.23,0.64,3.33,6.8,Level1
0,0.13,92.02,12.63,4.41,3.8,7.18,0.64,3.39,6.67,Level1
0,4.14,92.28,9.55,4.44,7.25,11.03,0.35,1.87,7.51,Level1
2,2.48,88.48,5.26,1.65,4.49,10.45,0.41,2.24,6.56,Level1
3,5.94,95.97,10.75,0.93,1.98,10.87,0.34,1.87,7.02,Level1
21,0.32,93.29,8.48,0.27,1.08,6.91,0.44,2.45,7.17,Level1
19,1.63,88.65,11.37,4.8,6.59,12.23,0.3,1.68,7.34,Level1
43,3.47,92.29,9.2,4.29,6.14,11.72,0.22,1.28,7.21,Level1
30,9.9,91.91,6.84,1.95,5.58,10.61,0.18,1.02,7.08,Level1
48,2.76,93.54,5.9,0.99,1.98,5.12,0.26,1.54,6.43,Level1
34,2.75,91,7.95,0.93,3.05,6.53,0.37,2.21,7.21,Level1
73,16.92,92.32,10.71,3.65,6.73,14.09,0.22,1.35,7.88,Level1
138,3.07,91.16,6.66,2.64,1.45,6.13,0.34,2.06,7.11,Level1
190,0.31,88.83,7.48,2.38,1.56,4.72,0.45,2.82,6.96,Level1
103,2.29,91.66,9.4,3.39,3.3,8.41,0.52,3.29,7.1,Level1
410,2.53,88.83,7.76,4.2,2.7,7.09,0.54,3.44,6.95,Level1
286,6.35,96.7,10.02,4.44,5.38,9.17,0.21,1.38,7.87,Level1
372,0.57,94.86,12.87,7.87,3.58,7.33,0.41,2.67,7.68,Level1
497,0.86,93.92,11.21,4.01,4.02,7.48,0.34,2.22,7.48,Level1
595,0.01,74.97,9.57,1.51,0.28,2.77,0.67,4.52,6.17,Level1
785,0.1,82.64,10.67,0.86,1.06,4.04,0.55,3.76,6.6,Level1
838,0.34,85.23,15.39,0.66,2.59,7.03,0.68,4.65,6.48,Level1
924,3.23,87.6,12.91,5.39,0.95,4.15,0.3,2.07,7.96,Level1
1210,0.05,79.46,15.75,5,0.21,1.69,0.57,4.03,7.58,Level1
1097,0,81.98,17.73,6.06,0.53,2.44,0.68,4.81,6.78,Level1
1404,0.08,76.6,19.13,5.66,0.39,3.43,0.67,4.81,7.08,Level1
1861,0.42,78.04,16.78,8.23,1.23,3.3,0.62,4.53,7.3,Level1
1617,0.15,86.9,15.01,5.43,0.38,4.3,0.56,4.08,7.28,Level1
1847,1.21,90.86,10.83,5.61,2.9,5.91,0.42,3.08,7.29,Level1
1559,0.19,86.54,14.25,2.9,0.22,4.54,0.66,4.94,6.26,Level1
3838,0.02,74.3,11.28,-0.66,2.5,6.02,0.73,5.54,5.3,Level2
2446,0,75.07,11.05,-2.71,1.44,6.16,0.72,5.52,5.45,Level2
2931,0.02,79.53,7.6,-4.09,2.47,5.32,0.7,5.42,5.7,Level2
